State,Year,Perc_pop_age_20_45
AL,2015,33.67261151
AK,2015,36.01475375
AZ,2015,34.19287998
AR,2015,33.49822138
CA,2015,36.74615608
CO,2015,36.68996058
CT,2015,32.36850721
DE,2015,32.68184218
DC,2015,46.65845767
FL,2015,32.58892273
GA,2015,35.42470415
HI,2015,33.20517813
ID,2015,33.23662365
IL,2015,35.03416654
IN,2015,33.89289243
IA,2015,32.97271723
KS,2015,33.56002099
KY,2015,33.66590874
LA,2015,34.98928987
ME,2015,30.31597016
MD,2015,34.3432688
MA,2015,34.82839783
MI,2015,32.817955
MN,2015,33.85116466
MS,2015,33.83304334
MO,2015,33.52401399
MT,2015,32.28878747
NE,2015,33.72325614
NV,2015,35.40460014
NH,2015,31.73815906
NJ,2015,33.42772063
NM,2015,33.23925997
NY,2015,35.40245389
NC,2015,33.91381417
ND,2015,36.11483067
OH,2015,32.90164177
OK,2015,34.40219538
OR,2015,34.8624539
PA,2015,32.67895919
RI,2015,33.90136192
SC,2015,33.29963599
SD,2015,32.50686892
TN,2015,34.12166343
TX,2015,36.61019164
UT,2015,37.53268143
VT,2015,31.58310133
VA,2015,34.78105316
WA,2015,35.46113147
WV,2015,32.10860624
WI,2015,32.92882735
WY,2015,34.14918395
AL,2016,33.41101856
AK,2016,36.0047061
AZ,2016,34.04194613
AR,2016,33.35888561
CA,2016,36.60794957
CO,2016,36.77634958
CT,2016,32.20843861
DE,2016,32.26324373
DC,2016,46.74029809
FL,2016,32.40944168
GA,2016,35.21619422
HI,2016,33.04045427
ID,2016,33.2410497
IL,2016,34.81560187
IN,2016,33.76394625
IA,2016,32.89802042
KS,2016,33.52902299
KY,2016,33.49091253
LA,2016,34.78228499
ME,2016,30.18140637
MD,2016,34.01504919
MA,2016,34.75936072
MI,2016,32.73532556
MN,2016,33.72560187
MS,2016,33.64494559
MO,2016,33.38537095
MT,2016,32.34773755
NE,2016,33.6887948
NV,2016,35.16953133
NH,2016,31.66656971
NJ,2016,33.22195058
NM,2016,33.13996901
NY,2016,35.17098584
NC,2016,33.65596396
ND,2016,35.95654641
OH,2016,32.80328482
OK,2016,34.26575699
OR,2016,35.00722193
PA,2016,32.54517988
RI,2016,33.80645762
SC,2016,33.0418834
SD,2016,32.46455726
TN,2016,33.97988633
TX,2016,36.51333711
UT,2016,37.56392348
VT,2016,31.47907702
VA,2016,34.48639392
WA,2016,35.50105059
WV,2016,31.8606504
WI,2016,32.79705242
WY,2016,33.89462127
AL,2017,33.15253735
AK,2017,35.78839979
AZ,2017,33.91616006
AR,2017,33.23149634
CA,2017,36.49859856
CO,2017,36.80159419
CT,2017,32.14118358
DE,2017,31.91413489
DC,2017,46.76775912
FL,2017,32.24315411
GA,2017,34.99281676
HI,2017,32.77449381
ID,2017,33.26313689
IL,2017,34.62529661
IN,2017,33.63076309
IA,2017,32.86825408
KS,2017,33.38919729
KY,2017,33.3165973
LA,2017,34.52363554
ME,2017,30.08475021
MD,2017,33.8149438
MA,2017,34.75909655
MI,2017,32.67049815
MN,2017,33.6613396
MS,2017,33.4470143
MO,2017,33.28554302
MT,2017,32.44933858
NE,2017,33.65816817
NV,2017,35.01319904
NH,2017,31.61976927
NJ,2017,33.10189548
NM,2017,33.04998457
NY,2017,34.96828679
NC,2017,33.46456867
ND,2017,35.84323774
OH,2017,32.69222978
OK,2017,34.11275746
OR,2017,35.05904864
PA,2017,32.43084592
RI,2017,33.71125337
SC,2017,32.80748423
SD,2017,32.51578411
TN,2017,33.87396794
TX,2017,36.38922685
UT,2017,37.63630644
VT,2017,31.4690001
VA,2017,34.3376332
WA,2017,35.62476784
WV,2017,31.56203624
WI,2017,32.6942181
WY,2017,33.532644
AL,2018,32.98159173
AK,2018,35.76626222
AZ,2018,33.90277957
AR,2018,33.13964422
CA,2018,36.44622418
CO,2018,36.95513944
CT,2018,32.18965548
DE,2018,31.69081794
DC,2018,46.79623958
FL,2018,32.09270482
GA,2018,34.86093236
HI,2018,32.59280049
ID,2018,33.34894104
IL,2018,34.50741874
IN,2018,33.6257732
IA,2018,32.88310061
KS,2018,33.40215508
KY,2018,33.15764285
LA,2018,34.36865009
ME,2018,30.08462349
MD,2018,33.69231618
MA,2018,34.79009919
MI,2018,32.6737815
MN,2018,33.69369379
MS,2018,33.26820499
MO,2018,33.255871
MT,2018,32.54413241
NE,2018,33.62787772
NV,2018,34.97437771
NH,2018,31.61928442
NJ,2018,33.03584062
NM,2018,33.02333538
NY,2018,34.87193911
NC,2018,33.33616942
ND,2018,35.77846524
OH,2018,32.68819835
OK,2018,34.06352594
OR,2018,35.12706711
PA,2018,32.424988
RI,2018,33.7503416
SC,2018,32.63833748
SD,2018,32.42980457
TN,2018,33.83781917
TX,2018,36.31006141
UT,2018,37.73487771
VT,2018,31.53469299
VA,2018,34.18295921
WA,2018,35.79539964
WV,2018,31.35128541
WI,2018,32.70017042
WY,2018,33.41618669
AL,2019,32.89492441
AK,2019,35.74596202
AZ,2019,33.95476568
AR,2019,33.10025221
CA,2019,36.40625233
CO,2019,37.15429261
CT,2019,32.30541297
DE,2019,31.57447256
DC,2019,46.87030517
FL,2019,31.97675611
GA,2019,34.80713131
HI,2019,32.43488748
ID,2019,33.46668319
IL,2019,34.45576118
IN,2019,33.6919053
IA,2019,32.9644886
KS,2019,33.45011513
KY,2019,33.10086282
LA,2019,34.26945653
ME,2019,30.18561338
MD,2019,33.64659506
MA,2019,34.88327017
MI,2019,32.73278128
MN,2019,33.76828428
MS,2019,33.17954568
MO,2019,33.30664403
MT,2019,32.66508139
NE,2019,33.66204949
NV,2019,34.98246685
NH,2019,31.74514836
NJ,2019,33.03921334
NM,2019,33.1046234
NY,2019,34.83455873
NC,2019,33.28116444
ND,2019,35.77740774
OH,2019,32.75590156
OK,2019,34.12551374
OR,2019,35.2330554
PA,2019,32.49180759
RI,2019,33.8281213
SC,2019,32.5413052
SD,2019,32.40765959
TN,2019,33.85071506
TX,2019,36.30215636
UT,2019,37.85700005
VT,2019,31.67077574
VA,2019,34.13548348
WA,2019,35.98679519
WV,2019,31.20636945
WI,2019,32.75393544
WY,2019,33.40397627
AK,2020,35.86401678
AL,2020,33.22253671
AR,2020,33.26569995
AZ,2020,34.00170629
CA,2020,36.54103614
CO,2020,36.87546728
CT,2020,32.24263957
DC,2020,46.76661192
DE,2020,32.02490226
FL,2020,32.26219589
GA,2020,35.06035576
HI,2020,32.80956284
IA,2020,32.91731619
ID,2020,33.31128689
IL,2020,34.68764899
IN,2020,33.72105605
KS,2020,33.4661023
KY,2020,33.34638485
LA,2020,34.5866634
MA,2020,34.80404489
MD,2020,33.90243461
ME,2020,30.17047272
MI,2020,32.7260683
MN,2020,33.74001684
MO,2020,33.3514886
MS,2020,33.47455078
MT,2020,32.45901548
NC,2020,33.53033613
ND,2020,35.89409756
NE,2020,33.67202927
NH,2020,31.67778616
NJ,2020,33.16532413
NM,2020,33.11143447
NV,2020,35.10883501
NY,2020,35.04964487
OH,2020,32.76825126
OK,2020,34.1939499
OR,2020,35.0577694
PA,2020,32.51435612
RI,2020,33.79950716
SC,2020,32.86572926
SD,2020,32.46493489
TN,2020,33.93281038
TX,2020,36.42499467
UT,2020,37.66495782
VA,2020,34.3847046
VT,2020,31.54732944
WA,2020,35.67382895
WI,2020,32.77484075
WV,2020,31.61778955
WY,2020,33.67932244
