State,Gender Male,Victim Race Black,Officer Charged (Justified),Victim Not Charged,Victim mental illness False,Victim Shot,Victim Armed,Threat Level Attack (Other),Victim Not Fleeing,Body Camera Absent,Rural (Suburban)
AK,94.87,8.33,NA (NA),100,84.62,97.44,66.67,74.36 (25.64),55.56,89.74,50 (15.38)
AL,93.27,32.63,1.17 (1.17),99.04,75,94.23,66.36,72.12 (21.15),64.71,86.54,42.86 (14.29)
AR,98.78,34.72,NA (1.94),100,84.15,98.78,59.76,67.07 (28.05),73.68,95.12,50.79 (15.87)
AZ,93.28,7.66,1.81 (NA),99.6,81.42,95.26,51.72,63.64 (32.81),67.49,89.72,12.02 (25.48)
CA,95.1,17.39,0.83 (0.61),99.75,77.26,93.09,38.54,54.65 (39.2),67.02,85.8,7.86 (39.75)
CO,96.92,10.71,NA (5.13),100,87.18,97.44,66.52,63.08 (34.87),50.54,89.23,16.67 (26.39)
CT,100,15,NA (36.88),100,76.19,80.95,20.59,57.14 (38.1),55,85.71,NA (7.69)
DC,84.62,92.31,NA (NA),100,84.62,100,53.85,76.92 (23.08),69.23,76.92,NA (100)
DE,100,50,NA (NA),100,69.23,100,61.54,53.85 (38.46),61.54,84.62,16.67 (25)
FL,94.86,34.26,1.21 (0.41),99.71,73.14,94.86,53.78,64.57 (31.43),68.45,95.14,13.16 (17.29)
GA,92.78,43.75,2.46 (0.57),98.9,79.01,93.37,62.19,76.8 (19.89),66.09,90.61,27.78 (11.11)
HI,93.33,3.45,NA (0.91),100,80,90,36.67,66.67 (33.33),68.97,90,30.77 (7.69)
IA,93.75,22.58,NA (0.85),100,78.12,96.88,62.5,59.38 (37.5),46.67,81.25,37.04 (11.11)
ID,95.12,2.7,NA (1.87),100,85.37,97.56,69.57,70.73 (24.39),65,85.37,44.44 (13.89)
IL,96.12,58.59,0.2 (0.42),99.03,82.52,95.15,68.85,63.11 (29.13),47.47,89.32,15.56 (43.33)
IN,97.89,31.87,NA (1.69),100,73.68,95.79,63.16,72.63 (26.32),72.04,86.32,25 (40.79)
KS,93.88,12.5,NA (3.04),100,75.51,91.84,58.93,73.47 (22.45),64.58,93.88,23.81 (35.71)
KY,95.74,17.24,NA (NA),100,92.63,97.89,60,73.68 (21.05),66.67,88.42,57.89 (13.16)
LA,98.17,58.82,1.25 (3.76),99.08,78.9,96.33,59.63,67.89 (22.02),68,87.16,32.97 (23.08)
MA,100,24.24,NA (0.83),100,68.57,100,39.55,62.86 (37.14),57.14,97.14,NA (48.28)
MD,94.94,61.04,0.81 (NA),98.73,72.15,97.47,55.7,59.49 (39.24),72.73,72.15,3.12 (32.81)
ME,95.45,4.76,NA (NA),100,90.91,95.45,59.09,54.55 (36.36),83.33,100,73.33 (6.67)
MI,97.44,33.8,NA (0.82),100,67.95,93.59,57.24,75.64 (23.08),79.22,89.74,23.53 (30.88)
MN,96.72,16.67,2.87 (6.57),98.36,65.57,95.08,55,60.66 (29.51),79.66,68.85,25.49 (19.61)
MO,93.53,39.34,0.65 (1.45),99.28,84.89,97.84,69.61,74.1 (22.3),57.36,98.56,20.69 (40.52)
MS,96.92,37.7,NA (NA),98.46,86.15,100,65.15,70.77 (21.54),51.67,93.85,50 (6.25)
MT,96.77,NA,NA (NA),100,87.1,93.55,61.29,58.06 (38.71),71.43,93.55,41.67 (8.33)
NC,96.79,34.46,NA (1.97),100,78.85,96.15,74.87,68.59 (28.21),69.54,84.62,33.61 (11.76)
ND,100,NA,NA (6.45),100,81.82,100,45.45,63.64 (36.36),54.55,90.91,50 (16.67)
NE,95.83,20.83,NA (10.39),100,79.17,91.67,50,70.83 (29.17),78.26,91.67,20 (35)
NH,100,NA,NA (3.23),100,53.85,100,61.54,30.77 (46.15),84.62,92.31,50 (10)
NJ,97.06,50,2.3 (NA),98.53,79.41,100,45.35,51.47 (39.71),69.35,97.06,7.02 (42.11)
NM,94.34,1.08,NA (NA),100,82.08,98.11,65.09,63.21 (28.3),66,85.85,31.03 (16.09)
NV,96.88,17.65,NA (NA),100,71.88,92.71,58.87,66.67 (29.17),68.13,67.71,11.27 (40.85)
NY,96.04,51.11,0.9 (4.12),99.01,63.37,91.09,50.47,78.22 (21.78),64.95,86.14,13.41 (58.54)
OH,96.77,38.36,2.02 (1.38),98.06,75.48,97.42,53.62,61.29 (34.84),69.8,91.61,17.69 (36.92)
OK,98.17,21.33,2.05 (3.6),98.78,78.05,92.07,55.29,70.12 (27.44),63.52,84.15,47.24 (22.83)
OR,97.73,9.21,NA (2.21),100,69.32,93.18,56.76,54.55 (39.77),72.5,93.18,25.76 (19.7)
PA,97.22,44.21,0.8 (1.51),98.15,75,89.81,53.51,70.37 (26.85),71.43,100,19.1 (28.09)
RI,100,50,NA (NA),100,100,100,20,100 (NA),NA,75,NA (66.67)
SC,95.45,33.75,4.92 (1.88),97.73,80.68,95.45,70.41,72.73 (23.86),69.05,87.5,46.58 (9.59)
SD,100,NA,NA (NA),100,64.71,100,70.59,82.35 (17.65),66.67,94.12,53.85 (NA)
TN,94.93,25,NA (0.81),100,75.36,99.28,55.03,68.12 (28.99),67.41,91.3,34.51 (13.27)
TX,93.75,23.06,1.96 (0.7),99.38,81.46,93.12,63.37,66.04 (29.79),64.69,91.67,22.22 (18.78)
UT,100,12.28,NA (NA),100,73.33,98.33,42.5,53.33 (38.33),57.89,68.33,6.38 (17.02)
VA,93.68,43.48,1.09 (1.7),98.95,72.63,96.84,62.11,67.37 (29.47),67.74,87.37,35.8 (20.99)
VT,100,NA,NA (NA),100,55.56,88.89,55.56,55.56 (33.33),66.67,66.67,71.43 (28.57)
WA,96.71,16.67,NA (0.85),100,65.79,93.42,48.41,57.89 (37.5),70.14,90.79,18.18 (17.36)
WI,98.9,22.73,5.25 (1.34),98.9,73.63,97.8,61.21,52.75 (46.15),68.97,85.71,42.25 (18.31)
WV,96.3,17.39,NA (1.71),100,77.78,100,62.96,70.37 (27.78),61.54,90.74,60 (13.33)
WY,92.86,NA,NA (NA),100,64.29,92.86,42.86,50 (28.57),69.23,100,25 (8.33)
US,95.61,27.72,1.03 (1.18),99,78,93.13,50.95,59.02 (35.03),66.87,88.43,11.02 (48.13)
